Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value,OR
ABL1,67,1149,42,722,1,1.002403747
ACVR1,32,1184,29,735,0.181012979,0.68499534
ACVR1B,119,1097,46,718,0.003362952,1.693194879
AKAP8,71,1145,78,686,0.000438139,0.545358862
ANAPC5,68,1148,35,729,0.350622988,1.233748133
APBB1,72,1144,32,732,0.098356315,1.439685315
APBB2,26,1190,14,750,0.743558883,1.170468187
ATM,19,1197,23,741,0.036566916,0.511387164
AURKA,346,870,190,574,0.086454799,1.201476104
BIRC5,276,940,156,608,0.240841787,1.144353519
BUB1,26,1190,32,732,0.013020825,0.499789916
BUB1B,37,1179,20,744,0.679175371,1.167430025
CCNA1,44,1172,38,726,0.164105764,0.717262439
CCNA2,41,1175,25,739,1,1.031455319
CD28,32,1184,37,727,0.011428214,0.531044558
CDC16,71,1145,88,676,8.71878E-06,0.476339817
CDC23,126,1090,44,720,0.00036945,1.891576314
CDC25B,190,1026,115,649,0.749518977,1.045088567
CDC25C,128,1088,44,720,0.000211763,1.92513369
CDC27,141,1075,64,700,0.022992503,1.434593023
CDC6,184,1032,115,649,1,1.00620155
CDC7,30,1186,35,729,0.013323141,0.526860997
CDK10,34,1182,49,715,0.000126437,0.419731344
CDK2,101,1115,36,728,0.001943069,1.831788739
CDK2AP1,69,1147,36,728,0.40999395,1.216506829
CDK4,122,1094,40,724,0.000137106,2.018464351
CDKN1A,68,1148,90,674,1.42661E-06,0.443592722
CDKN1B,76,1140,70,694,0.017119187,0.660952381
CDKN1C,89,1127,36,728,0.022452746,1.596963423
CDKN2A,54,1162,58,706,0.00368532,0.565671553
CDKN2C,47,1169,60,704,0.000207891,0.47174223
CDKN2D,59,1157,65,699,0.001567873,0.548381092
CDKN3,86,1130,42,722,0.188714978,1.308301728
CENPE,32,1184,28,736,0.225263648,0.71042471
CENPF,760,456,431,333,0.007237569,1.287703016
CETN1,68,1148,70,694,0.00274222,0.587257342
CHFR,86,1130,46,718,0.405127777,1.18791843
CHMP1A,32,1184,48,716,8.97966E-05,0.403153153
CIT,77,1139,43,721,0.562328533,1.133532066
CLIP1,69,1147,33,731,0.21025552,1.332567171
CUL1,127,1089,120,644,0.000771338,0.625864708
CUL2,66,1150,106,658,2.31623E-10,0.356259229
CUL3,28,1188,25,739,0.200392541,0.696700337
CUL4A,72,1144,88,676,1.34476E-05,0.483471074
CUL5,20,1196,23,741,0.056156075,0.538752363
DBF4,139,1077,117,647,0.013249733,0.713702989
DCTN2,111,1105,34,730,8.57594E-05,2.156774022
DCTN3,75,1141,72,692,0.008174177,0.63175577
DDX11,101,1115,86,678,0.032914023,0.714130775
DLGAP5,80,1136,42,722,0.339211539,1.210596915
DMC1,28,1188,49,715,6.8776E-06,0.343915344
DUSP13,62,1154,55,709,0.062548913,0.692579171
E2F1,225,991,118,646,0.08760513,1.242966358
EGF,30,1186,28,736,0.133118073,0.664900024
EREG,72,1144,53,711,0.393207128,0.844306637
ESPL1,88,1128,33,731,0.009044606,1.728132388
FOXO4,69,1147,49,715,0.496618459,0.877800117
GFI1,30,1186,33,731,0.02529841,0.560325004
GML,561,655,340,424,0.487108138,1.068091603
