Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value
ABL1,67,1149,42,722,1.0
ACVR1,32,1184,29,735,0.18101297877270825
ACVR1B,119,1097,46,718,0.003362951694499153
AKAP8,71,1145,78,686,0.0004381385822032031
ANAPC5,68,1148,35,729,0.35062298751259247
APBB1,72,1144,32,732,0.09835631486822483
APBB2,26,1190,14,750,0.743558882920258
ATM,19,1197,23,741,0.03656691551743131
AURKA,346,870,190,574,0.08645479874847786
BIRC5,276,940,156,608,0.24084178671092316
BUB1,26,1190,32,732,0.013020825477439183
BUB1B,37,1179,20,744,0.6791753713797388
CCNA1,44,1172,38,726,0.16410576435450383
CCNA2,41,1175,25,739,1.0
CD28,32,1184,37,727,0.011428213536010711
CDC16,71,1145,88,676,8.718783942154641e-06
CDC23,126,1090,44,720,0.0003694498222726412
CDC25B,190,1026,115,649,0.7495189769424322
CDC25C,128,1088,44,720,0.00021176289845042687
CDC27,141,1075,64,700,0.02299250280179787
CDC6,184,1032,115,649,1.0
CDC7,30,1186,35,729,0.013323140544186183
CDK10,34,1182,49,715,0.00012643745431588452
CDK2,101,1115,36,728,0.0019430688632001895
CDK2AP1,69,1147,36,728,0.4099939497224996
CDK4,122,1094,40,724,0.00013710594869865484
CDKN1A,68,1148,90,674,1.426606263528807e-06
CDKN1B,76,1140,70,694,0.017119186611767173
CDKN1C,89,1127,36,728,0.022452746492655145
CDKN2A,54,1162,58,706,0.003685319828551423
CDKN2C,47,1169,60,704,0.00020789056304737778
CDKN2D,59,1157,65,699,0.001567873261187435
CDKN3,86,1130,42,722,0.18871497776788101
CENPE,32,1184,28,736,0.225263648003238
CENPF,760,456,431,333,0.007237569360030283
CETN1,68,1148,70,694,0.0027422197406327103
CHFR,86,1130,46,718,0.4051277771604274
CHMP1A,32,1184,48,716,8.979656790057857e-05
CIT,77,1139,43,721,0.5623285327914427
CLIP1,69,1147,33,731,0.2102555196741882
CUL1,127,1089,120,644,0.0007713380153242364
CUL2,66,1150,106,658,2.316229788575267e-10
CUL3,28,1188,25,739,0.200392541039155
CUL4A,72,1144,88,676,1.3447627287777593e-05
CUL5,20,1196,23,741,0.056156075239344
DBF4,139,1077,117,647,0.013249733363598637
DCTN2,111,1105,34,730,8.575942300346307e-05
DCTN3,75,1141,72,692,0.008174177333923094
DDX11,101,1115,86,678,0.03291402320004065
DLGAP5,80,1136,42,722,0.3392115394815045
DMC1,28,1188,49,715,6.877601916781571e-06
DUSP13,62,1154,55,709,0.06254891320125394
E2F1,225,991,118,646,0.08760513033314948
EGF,30,1186,28,736,0.13311807308930998
EREG,72,1144,53,711,0.39320712778093053
ESPL1,88,1128,33,731,0.009044605719983057
FOXO4,69,1147,49,715,0.4966184588623948
GFI1,30,1186,33,731,0.025298410456631698
GML,561,655,340,424,0.48710813772794403
HSPA2,61,1155,30,734,0.2724759308853597
INHBA,181,1035,125,639,0.4064644728547743
KATNA1,82,1134,49,715,0.8527275354538142
KHDRBS1,37,1179,37,727,0.05078702456715889
KIF11,22,1194,13,751,1.0
KIF15,38,1178,17,747,0.2629923341596753
KIF22,444,772,204,560,5.859710302335138e-06
KIF25,101,1115,54,710,0.3449842411706974
KIF2C,55,1161,74,690,9.091574215714767e-06
KNTC1,69,1147,33,731,0.2102555196741882
KPNA2,294,922,156,608,0.0539665691748953
KRT7,126,1090,52,712,0.007612222238896505
LIG3,158,1058,78,686,0.06427410020611156
MAD2L1,40,1176,23,741,0.7933253502766032
MAP3K11,125,1091,59,705,0.05682611833790194
MPHOSPH6,40,1176,41,723,0.026621471274891773
MPHOSPH9,70,1146,36,728,0.356331000684173
MSH4,38,1178,45,719,0.003761693879311988
MSH5,71,1145,82,682,9.350771106786481e-05
MYO16,78,1138,82,682,0.0009032426889773727
NBN,508,708,330,434,0.5438254161694007
NCAPH,29,1187,40,724,0.0009854491418005
NDC80,63,1153,60,704,0.021356430023604617
NEK2,748,468,416,348,0.001972100186140391
NOLC1,22,1194,18,746,0.41515485177281675
NUMA1,143,1073,92,672,0.8865289750609102
NUSAP1,33,1183,18,746,0.6646944334828608
PAM,116,1100,44,720,0.0029266988480076304
PCBP4,29,1187,10,754,0.09922289949115792
PDS5B,54,1162,50,714,0.048893132387820296
PIM2,86,1130,54,710,1.0
PIN1,53,1163,54,710,0.010641790554161106
PKMYT1,496,720,209,555,1.1388273778584205e-09
PLK1,439,777,201,563,5.488687333146517e-06
PML,60,1156,46,718,0.3061867791757207
POLA1,81,1135,49,715,0.8526832112405911
POLD1,95,1121,54,710,0.5997209676333484
POLE,88,1128,48,716,0.4654613573574281
PPP5C,45,1171,48,716,0.011687807058694337
PRUNE2,46,1170,36,728,0.3540451401016771
PTPRC,761,455,420,344,0.0008360561778910857
RAD17,87,1129,34,730,0.01574099681838905
RAD21,581,635,381,383,0.3802976463852925
RAD50,121,1095,42,722,0.0003972816354414676
RAD51,33,1183,19,745,0.8853768866280057
RAD51B,55,1161,35,729,1.0
RAD51D,154,1062,74,690,0.04320807560654795
RAD52,109,1107,122,642,3.667316971176479e-06
RAD54B,516,700,341,423,0.3515241271825011
RAD54L,43,1173,68,696,9.653435554416519e-07
RAN,84,1132,45,719,0.40067546847083957
