display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
ABL1,202123_s_at,3.15,0.64,1.886056648,0.498310554,-0.193820026,0.69213058,2,0.00039,0.013,1.61,6.16,0.148661948,0.45,0.91,0.078017571,4.122519466,4.122519466,3.74751E-05
ACVR1,203935_at,0.65,0.81,0.619788758,-0.187086643,-0.091514981,-0.095571662,0,0.079,0.24,0.39,1.06,0.110775831,0.56,1.16,0.080681113,-0.697385547,0.697385547,0.485561544
ACVR1B,213198_at,2.29,0.81,0.698970004,0.359835482,-0.091514981,0.451350463,1,0.017,0.2,1.13,4.61,0.155771041,0.51,1.12,0.087155063,2.528638614,2.528638614,0.011450586
AKAP8,203848_at,1.37,0.73,1.22184875,0.136720567,-0.13667714,0.273397707,0,0.19,0.06,0.86,2.21,0.104564751,0.53,1.01,0.07144018,2.158871127,2.158871127,0.030860166
ANAPC5,200098_s_at,1.52,0.84,0.537602002,0.181843588,-0.075720714,0.257564302,0,0.1,0.29,0.92,2.51,0.111195381,0.61,1.16,0.071206162,1.950644169,1.950644169,0.051099389
APBB1,202652_at,1.67,0.49,3,0.222716471,-0.30980392,0.532520391,1,0.074,0.001,0.95,2.96,0.125910231,0.31,0.75,0.097882543,3.339071178,3.339071178,0.00084059
APBB2,212970_at,1.79,0.68,1.283996656,0.252853031,-0.167491087,0.420344118,1,0.014,0.052,1.12,2.86,0.103864288,0.46,1.01,0.087133557,3.100499495,3.100499495,0.001931945
ATM,212672_at,0.42,0.54,2.769551079,-0.37675071,-0.26760624,-0.109144469,2,0.00027,0.0017,0.26,0.68,0.106514175,0.36,0.8,0.088466195,-0.788266856,0.788266856,0.43054063
AURKA,208079_s_at,1.97,2.34,4.387216143,0.294466226,0.369215857,-0.074749631,2,0.021,4.10E-05,1.1,3.53,0.129179087,1.54,3.56,0.092839101,-0.469888078,0.469888078,0.638434982
BIRC5,202094_at,1.6,1.9,2.698970004,0.204119983,0.278753601,-0.074633618,2,0.045,0.002,1.01,2.55,0.102606838,1.26,2.87,0.091201875,-0.543657687,0.543657687,0.586677055
BUB1,209642_at,1.64,2.51,6,0.214843848,0.399673721,-0.184829873,2,0.04,1.00E-06,1.02,2.65,0.105776965,1.72,3.69,0.084565796,-1.364805744,1.364805744,0.172314113
BUB1B,203755_at,1.72,2.27,5.366531544,0.235528447,0.356025857,-0.12049741,2,0.026,4.30E-06,1.06,2.79,0.107218964,1.58,3.25,0.079904662,-0.901126843,0.901126843,0.367520882
CCNA1,205899_at,1.66,1.21,0.494850022,0.220108088,0.08278537,0.137322718,1,0.047,0.32,1,2.74,0.111671062,0.83,1.77,0.08390183,0.983137785,0.983137785,0.32553963
CCNA2,213226_at,1.76,2.19,5.036212173,0.245512668,0.340444115,-0.094931447,2,0.021,9.20E-06,1.08,2.87,0.108280138,1.54,3.13,0.078577453,-0.709570681,0.709570681,0.477970406
CD28,206545_at,0.81,0.75,0.769551079,-0.091514981,-0.124938737,0.033423755,0,0.4,1.70E-01,0.5,1.32,0.107552022,0.49,1.13,0.092572031,0.235536198,0.235536198,0.813792587
CDC16,209659_s_at,0.79,0.62,2.301029996,-0.102372909,-0.207608311,0.105235402,1,0.34,5.00E-03,0.48,1.29,0.109527672,0.44,0.87,0.075527188,0.790982815,0.790982815,0.42895402
CDC23,202892_at,1.57,0.67,1.795880017,0.195899652,-0.173925197,0.36982485,1,0.056,1.60E-02,0.98,2.5,0.103753554,0.48,0.93,0.073275947,2.911540599,2.911540599,0.003596512
CDC25B,201853_s_at,1.78,1.8,3.22184875,0.250420002,0.255272505,-0.004852503,2,0.016,6.00E-04,1.11,2.87,0.105244622,1.28,2.54,0.075924425,-0.037392329,0.037392329,0.970172189
CDC25C,205167_s_at,2.31,1.87,3.958607315,0.36361198,0.271841607,0.091770373,2,0.0016,1.10E-04,1.35,3.94,0.118663891,1.36,2.59,0.071367565,0.662736757,0.662736757,0.507499164
CDC27,217880_at,1.31,1.63,1.823908741,0.117271296,0.212187604,-0.094916309,1,0.26,1.50E-02,0.82,2.11,0.104711378,1.1,2.43,0.087809589,-0.694561288,0.694561288,0.487330279
CDC6,203967_at,1.78,2.88,8.055517328,0.250420002,0.459392488,-0.208972485,2,0.016,8.80E-09,1.1,2.87,0.106247248,1.98,4.21,0.083575741,-1.545893742,1.545893742,0.122130232
CDC7,204510_at,1.45,1.75,2.638272164,0.161368002,0.243038049,-0.081670046,1,0.14,2.30E-03,0.88,2.37,0.109761651,1.22,2.51,0.079927013,-0.601492298,0.601492298,0.54751214
CDK10,203468_at,0.77,1.2,0.537602002,-0.113509275,0.079181246,-0.192690521,0,0.27,2.90E-01,0.48,1.23,0.104250988,0.86,1.67,0.073525005,-1.510464748,1.510464748,0.130924878
CDK2, 204252_at,2.15,1.49,1.568636236,0.33243846,0.173186268,0.159252192,2,0.0087,2.70E-02,1.2,3.86,0.129440321,1.04,2.13,0.079425067,1.048639513,1.048639513,0.294344063
CDK2AP1,201938_at,1.42,1.88,3.236572006,0.152288344,0.274157849,-0.121869505,1,0.15,5.80E-04,0.88,2.27,0.104985506,1.3,2.71,0.081384168,-0.917445002,0.917445002,0.3589095
CDK4,202246_s_at,1.61,1.73,2.958607315,0.206825876,0.238046103,-0.031220227,1,0.08,1.10E-03,0.94,2.74,0.118526201,1.24,2.41,0.073621265,-0.223753194,0.223753194,0.822949352
CDKN1A,202284_s_at,1.86,1.24,0.677780705,0.269512944,0.093421685,0.176091259,1,0.01,2.10E-01,1.15,3.02,0.106966608,0.89,1.72,0.0729945,1.35978608,1.35978608,0.173897629
CDKN1B,209112_at,0.53,0.56,2.180456064,-0.27572413,-0.251811973,-0.023912157,2,0.009,6.60E-03,0.33,0.86,0.106118498,0.36,0.85,0.095182761,-0.167744141,0.167744141,0.866784569
CDKN1C,213348_at,1.47,0.67,1.455931956,0.167317335,-0.173925197,0.341242532,1,0.18,3.50E-02,0.83,2.61,0.126929187,0.46,0.97,0.082656608,2.252873415,2.252873415,0.024267132
CDKN2A,207039_at,1.66,0.69,1.585026652,0.220108088,-0.161150909,0.381258997,2,0.034,2.60E-02,1.03,2.68,0.105943257,0.5,0.96,0.072270722,2.972872925,2.972872925,0.002950266
CDKN2C,204159_at,0.6,0.87,0.408935393,-0.22184875,-0.060480747,-0.161368002,0,0.056,3.90E-01,0.35,1.02,0.118503094,0.63,1.2,0.071387933,-1.166420928,1.166420928,0.243444301
CDKN2D,210240_s_at,0.69,1.21,0.602059991,-0.161150909,0.08278537,-0.24393628,0,0.13,2.50E-01,0.43,1.12,0.106058563,0.87,1.67,0.072244188,-1.900906227,1.900906227,0.057314296
CDKN3,209714_s_at,1.68,2.52,6.552841969,0.225309282,0.401400541,-0.176091259,2,0.031,2.80E-07,1.04,2.71,0.10610611,1.75,3.64,0.081138606,-1.318306141,1.318306141,0.187401186
CENPE,205046_at,1.41,2.62,6.200659451,0.149219113,0.418301291,-0.269082179,1,0.14,6.30E-07,0.89,2.25,0.102753192,1.77,3.88,0.086953689,-1.99901419,1.99901419,0.045606819
CENPF,209172_s_at,1.58,2.07,4.721246399,0.198657087,0.315970345,-0.117313259,1,0.056,1.90E-05,0.98,2.52,0.104636343,1.47,2.9,0.075275679,-0.910111104,0.910111104,0.362763919
CETN1,207209_at,2.1,0.54,3.283996656,0.322219295,-0.26760624,0.589825535,2,0.027,5.20E-04,1.07,4.09,0.148556003,0.38,0.77,0.078241614,3.512943235,3.512943235,0.000443172
CHFR,218803_at,1.42,1.23,0.657577319,0.152288344,0.089905111,0.062383233,0,0.15,2.20E-01,0.88,2.29,0.10595735,0.89,1.71,0.072348496,0.486223872,0.486223872,0.626808448
CHMP1A,201933_at,2.01,1.64,2.522878745,0.303196057,0.214843848,0.088352209,2,0.0035,3.00E-03,1.25,3.23,0.105176661,1.18,2.28,0.072972663,0.690185512,0.690185512,0.490077533
CIT,212801_at,1.85,0.62,1.568636236,0.267171728,-0.207608311,0.474780039,2,0.0098,2.70E-02,1.15,2.97,0.105116992,0.41,0.95,0.093096875,3.381242566,3.381242566,0.000721588
